AgeYrBP,SeaLevel,TwoSigErr
0,1.705,5.6595
125,1.642,3.104
250,1.018,3.0575
375,-0.066,3.0535
500,-0.838,3.056
625,-0.688,3.056
750,-0.129,3.064
875,-0.096,3.063
1000,-0.521,3.0665
1125,-0.63,3.0695
1250,-0.272,3.065
1375,0.003833,3.055
1500,0.024,3.053
1625,0.361,3.055
1750,1.391,3.0585
1875,2.421,3.0495
2000,2.343,3.0575
2125,1.118,3.0715
2250,-0.117,3.0535
2375,-0.602,3.064
2500,-0.74,3.062
2625,-1.134,3.054
2750,-1.708,3.0535
2875,-2.09,3.055
3000,-2.202,3.0535
3125,-2.07,3.054
3250,-1.616,3.08
3375,-0.994,3.0775
3500,-0.691,3.1035
3625,-1.115,3.097
3750,-2.267,3.0675
3875,-3.741,3.065
4000,-4.95,3.0595
4125,-5.544,3.0535
4250,-5.679,3.058
4375,-5.81,3.0625
4500,-6.334,3.0615
4625,-7.44,3.056
4750,-9.086,3.057
4875,-10.822,3.064
5000,-11.832,3.0685
5125,-11.641,3.0615
5250,-10.69,3.063
5375,-9.777,3.0685
5500,-9.115,3.094
5625,-8.381,3.0895
5750,-7.468,3.077
5875,-6.549,3.079
6000,-5.717,3.083
6125,-5.141,3.0715
6250,-5.125,3.0695
6375,-5.634,3.0665
6500,-6.118,3.0655
6625,-6.053,3.066
6750,-5.609,3.056
6875,-5.602,3.06
7000,-6.806,3.0775
7125,-9.281,3.1085
7250,-12.11,3.1035
7375,-14.079,3.094
7500,-14.856,3.102
7625,-15.098,3.1255
7750,-15.512,3.123
7875,-16.259,3.1005
8000,-17.07,3.1
8125,-17.633,3.101
8250,-18.012,3.1135
8375,-18.508,3.1055
8500,-19.163,3.1085
8625,-19.775,3.132
8750,-20.265,3.13
8875,-20.534,3.118
9000,-20.458,3.097
9125,-20.376,3.095
9250,-20.933,3.098
9375,-22.298,3.1055
9500,-24.028,3.1295
9625,-25.611,3.144
9750,-26.829,3.149
9875,-27.735,3.161
10000,-28.441,3.194
10125,-29.013,3.183
10250,-29.547,3.1775
10375,-30.281,3.1845
10500,-31.476,3.1885
10625,-33.009,3.1785
10750,-34.349,3.176
10875,-35.119,3.195
11000,-35.719,3.2245
11125,-37.424,3.259
11250,-41.617,3.2675
11375,-48.755,3.271
11500,-57.34,3.263
11625,-64.475,3.2585
11750,-68.616,3.241
11875,-70.465,3.2095
12000,-71.302,3.174
12125,-71.946,3.147
12250,-72.715,3.1295
12375,-73.515,3.1155
12500,-74.051,3.1
12625,-74.144,3.088
12750,-73.904,3.08
12875,-73.633,3.075
13000,-73.555,3.071
13125,-73.679,3.068
13250,-73.862,3.065
13375,-73.977,3.065
13500,-74.071,3.0635
13625,-74.297,3.064
13750,-74.699,3.0645
13875,-75.155,3.0645
14000,-75.488,3.0655
14125,-75.663,3.066
14250,-75.842,3.067
14375,-76.154,3.0675
14500,-76.563,3.0675
14625,-76.969,3.068
14750,-77.327,3.0695
14875,-77.671,3.0705
15000,-78.045,3.0715
15125,-78.485,3.0725
15250,-79.03,3.0735
15375,-79.644,3.0735
15500,-80.216,3.0745
15625,-80.722,3.076
15750,-81.174,3.0775
15875,-81.493,3.078
16000,-81.665,3.079
16125,-81.85,3.08
16250,-82.196,3.0825
16375,-82.707,3.085
16500,-83.298,3.0875
16625,-83.843,3.0905
16750,-84.247,3.091
16875,-84.498,3.0925
17000,-84.601,3.0945
17125,-84.59,3.096
17250,-84.601,3.098
17375,-84.777,3.1005
17500,-85.128,3.103
17625,-85.565,3.1065
17750,-86.012,3.11
17875,-86.487,3.114
18000,-87.08,3.1155
18125,-87.838,3.118
18250,-88.734,3.1205
18375,-89.73,3.1215
18500,-90.693,3.1225
18625,-91.415,3.1235
18750,-91.87,3.125
18875,-92.255,3.127
19000,-92.748,3.1295
19125,-93.382,3.1325
19250,-94.107,3.135
19375,-94.853,3.137
19500,-95.546,3.1395
19625,-96.204,3.141
19750,-97.055,3.142
19875,-98.263,3.143
20000,-99.607,3.144
20125,-100.746,3.144
20250,-101.625,3.145
20375,-102.386,3.144
20500,-103.07,3.143
20625,-103.671,3.142
20750,-104.437,3.14
20875,-105.72,3.1385
21000,-107.319,3.1355
21125,-108.484,3.133
21250,-108.855,3.1305
21375,-108.812,3.1275
21500,-108.782,3.1245
21625,-108.758,3.122
21750,-108.631,3.119
21875,-108.479,3.1165
22000,-108.418,3.1145
22125,-108.501,3.1125
22250,-108.743,3.1105
22375,-109.118,3.108
22500,-109.54,3.1055
22625,-109.889,3.1035
22750,-110.058,3.1015
22875,-110.032,3.0995
23000,-109.905,3.098
23125,-109.752,3.0975
23250,-109.589,3.097
