YEAR,HarKenaanIL,BenGurionIL,BetDaganIL,EilatIL,RaficHaririLB,DamascusSY,MaAnJO,KingHusseinJO
1940,15.22,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1941,16.23,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1942,15.24,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1943,14.87,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1944,15.39,21.03,999.9,999.9,999.9,999.9,999.9,999.9
1945,14.89,20.26,999.9,999.9,999.9,999.9,999.9,999.9
1946,15.49,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1947,16.46,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1948,15.25,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1949,14.39,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1950,15.31,999.9,999.9,24.4,999.9,999.9,999.9,999.9
1951,16.38,21.05,999.9,26.03,999.9,17.3,999.9,999.9
1952,15.66,20.54,999.9,25.25,999.9,17.26,999.9,999.9
1953,15.25,20.38,999.9,999.9,999.9,16.44,999.9,999.9
1954,15.5,20.32,999.9,999.9,999.9,16.7,999.9,999.9
1955,16.29,20.95,999.9,25.75,20.71,17.64,999.9,999.9
1956,16.05,999.9,999.9,25.16,20.01,16.79,999.9,999.9
1957,15.51,999.9,999.9,24.92,20.04,16.47,999.9,999.9
1958,16.05,20.51,999.9,25.32,20.11,16.92,999.9,999.9
1959,14.89,19.78,999.9,24.55,19.5,16.09,999.9,999.9
1960,16.73,21,999.9,25.62,999.9,17.8,999.9,999.9
1961,15.38,19.98,999.9,999.9,19.76,999.9,999.9,999.9
1962,999.9,20.76,999.9,25.65,20.53,999.9,999.9,999.9
1963,999.9,21.08,20.32,25.65,20.81,999.9,17.68,999.9
1964,999.9,19.57,18.87,24.34,19.22,999.9,16.85,999.9
1965,15.58,20.22,19.43,24.89,19.65,999.9,17.26,999.9
1966,16.46,20.67,19.96,25.57,20.25,999.9,18.12,999.9
1967,14.49,19.47,18.68,24.39,19.11,999.9,16.12,999.9
1968,15.57,20.18,19.38,24.83,19.54,999.9,17.08,999.9
1969,15.86,20.24,19.51,25.48,999.9,17.27,17.96,999.9
1970,16.09,20.29,19.41,25.15,20.25,17.34,17.51,999.9
1971,15.09,20.13,19.2,24.55,19.74,16.5,16.86,999.9
1972,15,20.08,19.11,24.59,19.47,16.2,16.53,999.9
1973,15.31,19.71,18.89,24.57,19.31,16.21,16.81,999.9
