Entity,Code,Year,OutdoorAirPollution,Executions,Meningitis,AlzheimersDementias,Parkinsons,NutritionalDeficiencies,Malaria,Drowning,InterpersonalViolence,MaternalDisorders,HIVAIDS,DrugUse,Tuberculosis,CardiovascularDiseases,LowerRespiratoryInfections,NeonatalDisorders,Alcoholism,Selfharm,Nature,Diarrhea,EnvironmentalHeatCold,Neoplasms,ConflictTerrorism,DiabetesMellitus,ChronicKidneyDisease,Poisoning,Malnutrition,Terrorism,RoadInjuries,ChronicRespiratoryDiseases,CirrhosisLiverDisease,DigestiveDiseases,Fire,Hepatitis
Israel,ISR,1990,2314,,43,728,232,12,0,66,114,11,39,51,51,12461,721,509,62,373,0,35,10,7083,100,822,958,8,6,57,533,1328,399,912,38,15
Israel,ISR,1991,2504,,40,779,249,13,0,66,109,9,48,49,54,13112,718,496,57,409,5,38,9,7583,76,928,997,8,7,31,556,1390,430,989,38,15
Israel,ISR,1992,2672,,42,834,265,13,0,65,110,8,49,47,60,13653,718,499,55,442,0,41,10,8083,109,1049,1024,9,7,38,589,1438,462,1065,39,16
Israel,ISR,1993,2700,,48,885,273,13,0,61,131,6,66,43,64,13590,653,457,50,447,0,41,9,8383,89,1120,985,9,7,,615,1427,466,1105,39,18
Israel,ISR,1994,2739,,41,945,285,14,0,59,134,8,38,38,71,13672,624,433,48,477,0,46,10,8781,177,1241,990,8,7,60,673,1420,489,1178,40,17
Israel,ISR,1995,2780,,38,1009,302,16,0,56,129,9,60,36,76,13702,666,423,46,512,0,50,11,9230,96,1448,1089,8,8,18,722,1423,542,1280,41,13
Israel,ISR,1996,2736,,37,1055,310,18,0,51,144,10,31,38,78,13278,731,414,51,547,0,54,12,9528,206,1695,1113,8,10,73,758,1406,569,1328,41,8
Israel,ISR,1997,2707,,44,1104,319,20,0,48,127,13,38,42,79,12905,786,415,54,581,17,61,13,9795,57,1976,1194,8,12,31,782,1413,596,1379,44,6
Israel,ISR,1998,2694,,42,1161,332,24,0,44,123,11,38,50,78,12780,807,409,60,566,0,83,16,10099,25,2179,1304,8,15,19,777,1444,614,1417,43,5
Israel,ISR,1999,2645,,42,1214,343,29,0,46,167,10,32,58,74,12324,824,406,71,549,2,110,17,10275,8,2377,1364,9,18,6,773,1498,640,1473,44,4
