Agriculture,AlpineGlacier,Natural,SoilProduction
36.9,1.1,0.5,0.039
13,1.4,0.070856,0.047
8.9,2.5,0.033344,0.02
5.2,0.4,0.03126,0.015
1,1,0.0125,0.026
5,1.4,0.008336,0.021
4,1.1,0.014588,0.025
12,10,0.002084,0.107
0.24,3,0.004168,0.06
0.876,6,0.002084,0.026
0.492,2.7,0.02084,0.048
0.72,1.2,0.006252,0.033
0.576,0.8,0.004168,0.027
0.312,4.82,0.002084,0.091
16.8,2.01,0.022924,0.064
0.7138,0.61,0.018756,0.066
15.8,1.98,0.004168,0.102
0.357,1.31,0.25008,0.077
0.247,2.29,0.037512,0.00925
0.2075,22,0.152132,0.0456
4.4,8,0.016672,0.04787
21,0.65,0.002084,0.02061
1.016,0.68,0.064604,0.02024
3,0.7,0.0004168,0.03451
5.3,0.72,0.641872,0.02608
10.5,0.71,0.02084,0.02082
11.6,0.63,0.004168,0.01897
17.8,0.73,0.016672,0.05653
6.6,0.72,0.001042,0.06004
0.1048,0.74,0.01042,0.01526
0.114125,0.7,0.075024,0.02945
2,0.74,0.006252,0.02183
10,0.68,0.004168,0.05149
0.415,0.73,0.02084,0.02562
4.15,0.7,0.002084,0.02169
3.32,0.73,0.013612,0.01094
7.47,0.73,0.017513,0.00956
2.8,0.7,0.024402,0.02283
2.075,0.68,0.01693,0.00995
7.9,0.65,0.01,0.00907
6.3,0.79,0.2075,0.02629
3.36,0.71,0.0375,0.053
1.3197,0.64,0.0249,0.0026
0.249,0.7,0.045589,0.011
0.747,,0.016018,0.0041
0.332,,0.004654,0.0044
1.162,,0.011697,0.00017
0.498,,0.001856,0.0134
1.411,,0.083,0.012
0.664,,0.0002084,0.0157
2.241,,0.0018756,0.01
11.1,,0.68772,0.0182
3.62,,0.00625,0.0171
3.556,,0.0004168,0.0095
3.704,,0.002084,0.0268
3.486,,0.008,0.0235
3.519,,0.0047,0.0098
12.939,,0.0051,0.0099
2.365,,0.0108,0.0108
1.602,,0.0114,0.0097
0.375,,0.0109,0.0128
0.91696,,0.0079,0.0102
1.02116,,0.02905,0.0091
1.042,,0.0166,0.0105
1.042,,0.023,0.0117
1.2504,,,0.0126
1.563,,,0.058
2.5008,,,0.047
1.49,,,0.224
0.7885,,,0.473
0.326298365,,,0.083
0.53701916,,,0.011
13.4,,,0.06
2.355,,,0.078
0.5976,,,0.055
4.208,,,0.106
13.28,,,0.065
15.55,,,0.046
8.466,,,0.037
1.087,,,0.02
3.129,,,0.0058
6.051,,,0.02
2.1248,,,0.029
2.4402,,,0.16
0.6474,,,0.033
0.0166,,,0.057
0.000689,,,0.085
0.28635,,,0.026
0.38512,,,0.019
1.62431,,,0.018
13.114,,,0.0017
16.517,,,0.02
16.268,,,0.004
15.355,,,0.004
1.73885,,,0.01
3.8512,,,0.07
6.52048,,,0.00581
9.85542,,,0.01079
15.6625,,,0.00498
2,,,0.01992
1.12,,,0.04067
1.3695,,,0.01328
2.988,,,0.05478
2.3821,,,0.01992
1.5521,,,0.00664
3.816,,,0.00581
4.4073,,,0.00996
2.37712,,,0.01162
6.81928,,,0.01494
6.1976,,,0.01826
0.81755,,,0.083
3.486,,,0.1162
3.87029,,,0.03818
0.62914,,,0.06474
5.7021,,,0.0913
7.84516,,,0.166
6.20923,,,0.0249
8.17882,,,0.0498
1.70897,,,0.2407
5.20493,,,0.083
7.09069,,,0.0913
2.2742,,,0.2988
1.16615,,,0.2822
0.6225,,,0.1328
0.5976,,,0.0581
1.52222,,,0.0139
1.83596,,,0.0144
7.221,,,0.0148
1.411,,,0.0133
5.5,,,0.0126
1.1,,,0.0125
1.1122,,,0.0155
2.407,,,0.0159
8.9059,,,0.0175
7.387,,,0.0145
0.5146,,,0.01
0.8051,,,0.02
