YEAR,Zurich,Oxford,Dublin,Perpignan,Kaliningrad,Wien,Uccle,Kiev,Lisboa,Oslo,Madrid,Verona,Bucuresti,Hannover,Vilnius,Helsinki
1880,8.19,9.33,8.37,14.42,6.75,9.62,9.32,6.66,14.90,6.40,13.33,10.84,9.27,8.67,5.84,2.81
1881,8.65,9.41,7.83,15.00,5.50,9.01,8.98,6.51,16.02,3.92,14.28,10.95,8.83,7.84,5.18,1.15
1882,8.45,10.00,8.49,14.94,7.94,10.33,9.27,8.19,14.93,6.93,13.53,12.02,10.02,9.01,7.78,4.81
1883,8.04,9.82,7.70,14.11,6.44,9.41,9.22,7.12,14.61,5.78,12.93,11.45,9.69,8.16,5.68,2.97
1884,8.52,10.35,8.57,14.12,7.22,9.79,9.71,7.32,15.05,6.29,13.03,11.11,8.90,8.92,6.72,3.71
1885,8.26,9.33,7.55,13.83,6.77,10.05,8.66,8.46,14.70,4.90,12.71,11.76,10.11,7.99,6.27,3.02
1886,8.17,9.44,7.95,14.10,6.55,9.61,9.01,6.90,15.08,5.71,13.27,12.05,9.25,8.16,6.00,3.56
1887,7.09,8.83,7.78,13.33,6.66,9.23,7.96,8.09,15.51,5.80,13.39,11.61,10.53,7.09,6.64,4.47
1888,7.20,8.71,7.51,13.39,5.10,8.59,7.63,6.99,14.84,3.94,12.49,11.05,8.71,6.78,5.01,1.34
1889,7.35,9.47,8.21,13.61,6.50,9.50,8.71,7.70,14.56,6.67,13.20,11.60,9.49,7.86,6.40,3.55
1890,7.30,9.61,8.56,13.49,7.39,9.44,8.54,8.72,14.87,6.19,13.05,11.35,9.49,7.81,7.09,4.62
1891,6.83,8.42,7.65,13.09,6.34,8.53,7.81,7.17,14.91,5.34,12.99,11.07,8.99,6.78,5.69,3.62
1892,8.67,8.90,7.45,14.47,6.34,9.68,8.50,8.73,15.65,5.19,13.86,12.16,10.40,7.51,6.12,2.62
1893,8.61,10.32,8.78,14.91,5.59,9.20,9.21,6.43,16.20,4.67,14.04,11.79,8.33,7.79,4.60,1.39
1894,8.39,9.77,8.20,14.20,7.31,10.07,9.25,7.65,15.12,6.64,13.54,12.32,10.02,8.36,6.50,4.63
1895,7.73,9.53,7.73,14.14,6.94,9.05,8.57,7.90,16.07,5.10,14.38,11.98,10.05,7.54,6.24,3.31
1896,7.72,10.15,8.54,14.26,7.12,9.16,8.65,7.17,15.72,6.17,13.74,11.66,10.08,8.11,6.46,4.41
1897,8.60,10.02,8.49,15.07,6.76,9.81,9.17,8.78,16.30,5.87,14.95,12.73,10.16,7.94,6.82,4.00
1898,8.78,10.43,8.99,14.89,7.18,10.39,9.45,7.42,16.04,5.99,14.62,12.73,10.29,8.75,6.34,3.80
1899,9.10,10.95,9.19,15.30,7.70,10.19,9.79,8.78,16.89,6.16,15.31,12.24,10.69,9.07,6.88,3.06
1900,8.47,9.86,8.24,14.54,6.44,9.54,8.82,7.38,15.85,5.22,14.15,12.48,9.94,8.20,4.99,2.45
1901,7.62,9.97,8.48,13.71,7.10,9.47,9.07,8.46,15.41,6.20,13.54,11.59,9.60,8.27,5.92,4.24
1902,7.87,9.43,8.17,13.97,5.50,9.28,8.48,7.51,15.47,4.66,13.55,11.68,10.04,7.40,4.26,1.57
1903,8.05,10.07,8.40,14.19,7.17,9.73,9.39,8.68,15.79,5.54,13.97,12.02,9.82,8.61,5.97,4.06
1904,8.49,9.60,8.24,14.73,6.10,9.95,8.88,6.93,15.79,5.61,14.21,13.11,9.76,8.19,4.43,3.15
1905,8.06,9.73,8.41,14.35,7.03,9.89,9.04,8.27,15.63,5.86,13.57,11.58,9.79,8.29,5.68,3.71
1906,8.58,10.38,8.78,14.55,7.70,10.19,9.55,8.81,15.97,6.71,13.91,11.99,9.95,8.95,6.35,4.68
1907,7.79,9.50,8.04,14.16,6.23,9.45,8.64,7.12,15.50,5.62,13.85,11.76,8.82,7.80,4.74,3.29
1908,7.91,10.05,8.82,14.63,6.39,9.55,8.95,6.90,16.04,5.77,14.45,11.77,9.93,8.11,4.57,2.53
1909,7.42,9.22,8.23,13.92,5.71,9.12,8.20,7.26,15.71,5.28,13.60,11.38,9.72,7.35,4.50,3.25
1910,8.19,9.70,8.34,13.90,7.96,9.96,9.20,8.96,15.70,6.30,13.40,11.81,10.53,8.84,6.66,4.96
1911,9.09,10.90,9.12,14.93,7.81,10.54,10.14,7.28,15.48,6.71,14.01,12.24,10.15,9.81,6.04,4.09
1912,7.93,10.05,8.49,14.29,6.02,9.12,9.48,6.20,15.76,5.65,13.91,11.43,9.23,8.19,5.03,3.28
1913,8.53,10.73,9.01,14.62,7.91,9.76,10.05,8.67,15.65,6.89,14.10,11.42,9.72,9.26,6.91,4.84
1914,7.88,10.56,9.20,13.93,7.87,9.44,9.41,8.40,15.65,6.62,13.86,11.25,9.12,9.01,6.38,4.10
1915,7.97,9.60,8.01,13.79,6.67,9.52,9.02,7.69,16.01,5.21,14.02,11.36,9.90,8.15,5.93,2.78
1916,8.80,10.08,8.81,14.29,7.19,10.73,9.60,8.03,15.93,5.26,14.14,11.96,10.97,8.70,5.72,2.65
1917,8.09,9.08,7.71,13.74,6.38,9.82,8.46,7.12,15.69,4.98,13.73,11.43,10.21,8.46,5.40,2.94
1918,7.77,9.59,8.22,13.51,7.27,9.83,9.04,8.27,15.79,5.86,13.78,11.09,10.70,8.29,5.97,3.83
1919,8.01,9.15,7.81,14.12,6.13,9.31,8.63,7.09,16.14,5.43,13.99,11.23,9.91,7.96,5.08,3.40
1920,9.11,10.22,8.87,14.94,7.83,10.21,9.80,8.16,16.12,5.85,14.91,13.10,9.74,8.95,6.73,4.67
1921,9.35,11.05,9.28,14.71,7.58,10.61,10.41,8.30,16.32,6.57,14.52,12.77,10.11,9.05,6.11,4.08
1922,7.70,9.35,8.10,14.28,5.33,8.94,8.01,6.88,16.07,5.07,14.21,11.63,9.69,7.00,4.29,2.89
1923,8.68,9.92,8.27,14.51,6.61,10.21,9.09,8.39,16.01,5.28,14.33,12.53,10.70,8.24,5.47,2.91
1924,7.70,9.73,8.19,14.47,5.88,9.00,8.46,7.27,15.70,4.89,14.57,12.14,10.09,7.36,4.95,3.67
1925,8.35,10.11,8.40,14.18,7.52,10.09,8.93,8.89,15.62,6.67,13.39,12.06,10.45,8.85,6.60,4.94
1926,9.13,10.24,8.68,14.89,7.23,10.36,9.55,7.87,17.20,5.46,15.13,11.81,10.43,8.63,5.82,2.89
1927,8.63,9.94,8.41,14.53,6.80,10.55,9.09,8.24,16.19,5.29,14.19,11.87,11.00,8.31,5.29,3.72
1928,9.09,10.18,8.45,14.84,6.34,10.01,9.15,6.09,16.19,4.70,14.54,12.47,9.64,7.96,4.82,3.11
1929,7.89,9.42,8.25,14.34,5.10,8.70,8.25,6.52,16.54,5.16,14.36,11.48,9.16,7.01,3.98,3.08
1930,9.38,10.22,8.15,14.68,8.01,10.75,10.03,8.71,16.36,7.07,14.47,12.39,10.45,9.08,6.77,5.92
1931,7.97,9.52,8.15,14.32,5.96,9.47,8.73,6.57,16.19,5.35,14.28,12.15,9.97,7.80,4.62,3.20
1932,8.28,9.89,8.51,13.88,7.04,10.11,9.18,7.80,15.49,6.35,13.65,11.57,9.03,8.62,6.16,4.17
1933,8.42,10.81,9.39,14.84,6.29,9.46,9.50,6.64,16.09,6.94,15.03,12.04,8.68,8.32,5.23,4.46
1934,8.78,10.04,8.98,14.45,8.24,10.67,9.27,8.58,15.19,7.05,13.97,12.03,9.78,9.14,7.26,5.80
1935,8.96,10.80,9.12,14.62,6.94,10.34,9.99,7.00,15.71,7.00,14.20,12.12,10.04,8.94,5.81,4.60
1936,8.69,9.67,8.26,14.11,7.63,10.22,9.31,8.84,15.85,6.28,14.20,12.41,11.28,8.62,6.82,5.03
1937,9.23,10.47,8.62,15.37,7.84,10.51,9.76,8.60,15.91,6.79,14.45,12.51,10.39,8.89,7.01,5.84
1938,8.82,10.72,9.02,14.54,7.89,10.71,9.71,9.34,16.13,6.85,14.62,12.20,10.75,9.28,7.08,5.57
1939,8.14,10.41,8.88,14.18,8.30,10.15,9.69,8.42,15.69,6.51,14.44,11.96,10.35,8.79,6.73,5.02
1940,7.66,9.58,8.54,14.31,4.78,8.22,8.48,6.44,16.24,4.58,14.17,11.58,8.82,6.67,3.80,2.48
1941,7.35,9.52,8.15,13.61,4.98,8.51,8.68,6.26,16.02,4.63,13.61,11.22,9.20,6.95,3.85,2.16
1942,8.21,9.52,8.39,14.59,5.19,9.14,8.72,4.87,15.93,4.27,14.16,11.99,9.07,7.27,3.58,1.29
1943,9.55,11.02,9.20,15.32,7.86,10.46,10.24,7.46,16.88,7.14,14.73,12.99,9.76,9.34,6.39,5.32
1944,8.45,10.22,8.74,14.36,7.82,9.94,9.12,8.36,16.43,6.51,13.93,12.07,10.14,8.90,6.69,4.99
1945,9.01,10.74,9.42,15.56,7.17,10.53,9.99,6.83,16.93,7.11,15.36,12.65,10.31,9.39,5.75,4.46
1946,9.06,10.29,8.70,14.63,7.26,10.71,9.49,8.30,16.18,6.40,14.16,12.77,10.59,9.16,5.92,3.71
1947,9.41,9.99,8.41,15.20,5.19,9.92,9.69,6.98,16.69,6.19,14.84,12.11,10.03,7.91,5.11,3.46
1948,9.44,10.61,9.03,15.15,7.63,10.99,10.13,8.53,17.29,6.14,14.99,12.54,10.84,9.51,6.89,4.41
1949,9.36,11.28,9.62,15.75,8.15,10.38,10.31,8.19,17.57,7.73,15.69,12.62,9.92,9.51,7.25,5.84
1950,9.60,10.45,8.80,15.63,7.35,10.92,9.98,8.08,16.68,6.36,15.20,13.17,11.04,9.44,6.48,4.50
1951,8.58,9.52,7.91,14.03,7.10,10.80,9.33,8.19,15.94,5.68,13.56,12.91,11.36,8.73,6.19,4.26
1952,8.82,10.04,8.48,15.23,6.55,10.34,9.60,7.89,16.32,5.59,14.40,12.51,11.01,8.60,5.73,3.31
1953,8.75,9.83,8.79,14.48,7.57,10.37,9.50,7.67,16.72,6.77,14.35,12.59,10.12,9.24,6.24,4.88
1954,8.03,9.80,8.38,14.47,6.04,9.06,9.19,6.99,16.14,5.70,14.40,12.18,8.91,8.21,5.35,4.51
1955,8.24,9.93,8.53,15.10,6.99,9.53,9.11,8.07,17.09,6.36,15.05,12.20,9.85,8.03,6.09,3.52
1956,7.56,9.36,8.28,13.80,5.42,9.09,8.20,6.33,15.69,4.82,13.45,11.35,9.05,7.15,4.33,2.52
1957,8.90,10.75,9.07,14.56,7.66,10.41,10.18,8.73,16.09,6.17,14.41,12.24,10.64,9.22,7.17,5.19
1958,8.60,10.04,8.62,14.72,6.67,10.24,9.32,7.89,16.22,5.51,14.48,12.61,10.80,8.46,5.85,3.33
1959,9.52,10.91,9.40,15.04,7.90,10.27,10.54,8.35,16.46,6.87,14.69,12.68,9.61,9.46,7.06,4.92
1960,9.26,10.48,8.95,14.91,6.30,10.16,9.98,7.67,16.39,6.13,14.59,12.40,10.55,8.88,5.67,3.36
1961,9.89,10.83,9.02,15.29,8.29,11.08,10.31,9.30,17.02,7.19,15.36,13.51,11.26,9.47,7.83,5.79
1962,8.31,9.17,7.83,14.72,6.38,9.47,8.54,8.19,16.52,5.19,14.98,12.13,10.56,7.60,5.73,3.49
1963,7.76,8.83,7.83,13.89,6.04,9.30,8.18,7.64,16.05,4.96,14.14,11.91,9.77,7.20,5.32,3.19
1964,8.57,10.00,8.74,14.84,6.42,9.24,9.20,7.02,16.52,6.09,15.15,12.25,9.56,7.94,5.44,4.03
1965,7.75,9.37,8.16,14.13,6.10,8.88,8.90,6.88,16.00,5.73,14.31,11.90,9.84,7.73,5.02,3.72
1966,9.30,10.08,8.65,15.03,6.92,10.65,9.92,9.39,16.59,4.69,14.69,12.53,11.60,8.85,6.52,3.03
1967,9.43,10.49,8.59,15.32,8.08,10.79,10.04,8.51,16.07,6.34,14.57,12.66,10.30,9.60,7.03,4.91
1968,8.68,10.06,8.53,14.53,7.10,10.49,9.47,7.65,16.31,5.61,14.63,12.40,10.91,9.01,5.67,3.12
1969,8.59,9.99,8.30,14.48,6.30,9.83,9.54,6.95,16.02,5.84,13.91,12.31,9.57,8.48,5.14,3.79
1970,8.09,10.18,8.66,14.76,5.27,9.40,9.25,7.57,16.48,4.85,14.87,12.15,10.59,7.68,5.15,3.15
1971,8.63,10.04,8.86,14.37,7.61,10.13,9.50,7.95,15.50,6.39,13.45,12.51,10.49,8.71,6.56,4.21
1972,8.68,9.89,8.24,14.03,7.51,10.37,9.34,8.87,15.30,6.41,13.73,12.47,10.78,8.47,7.05,4.70
1973,8.50,10.26,8.88,14.41,7.83,10.29,9.71,8.48,16.22,7.02,14.55,12.43,9.88,8.85,6.67,4.97
1974,9.11,9.89,8.03,14.09,7.26,10.69,9.56,8.47,15.94,6.99,14.10,12.48,9.87,9.02,6.40,4.91
1975,9.53,10.81,9.21,14.77,8.85,11.20,10.24,10.36,16.18,7.32,14.29,13.02,11.20,9.96,8.14,6.04
1976,9.25,10.89,9.10,14.53,6.34,10.35,10.31,6.99,15.94,6.55,14.12,12.18,9.49,8.89,5.33,3.05
1977,9.13,9.60,8.14,14.28,7.12,10.89,9.42,8.43,16.07,5.84,14.13,12.58,11.14,9.00,6.37,3.49
1978,8.20,10.01,8.69,14.08,6.97,9.61,9.29,7.47,16.42,6.07,14.69,11.84,9.71,8.72,5.87,3.31
1979,8.68,9.41,7.84,14.48,5.85,9.88,8.65,7.72,16.25,4.47,14.74,12.24,10.16,7.65,5.15,2.99
1980,8.66,10.06,8.39,14.07,5.98,9.68,9.33,7.01,16.57,5.29,14.72,12.37,9.59,8.44,5.09,3.60
1981,8.72,10.26,8.95,14.30,7.41,10.91,9.60,8.61,16.77,5.99,15.06,12.29,10.34,9.03,6.87,4.11
1982,9.34,10.31,8.67,15.48,7.15,10.33,10.01,8.46,16.75,5.83,15.21,13.05,10.21,9.06,6.43,4.02
1983,9.63,10.70,8.91,15.37,8.54,11.55,10.11,9.68,16.48,6.90,15.22,12.90,11.20,9.67,7.81,5.25
1984,8.54,10.50,8.91,14.26,7.43,10.06,9.48,8.20,16.14,6.52,13.95,12.19,10.06,8.65,6.94,4.87
1985,8.24,9.33,8.22,14.43,5.89,9.42,8.57,6.21,16.65,5.01,15.35,12.70,9.11,7.76,5.07,2.71
1986,8.71,9.46,7.87,14.95,6.95,10.50,9.19,8.08,16.39,5.20,14.69,13.10,10.76,8.49,6.23,3.94
1987,8.42,9.81,8.31,14.77,5.25,9.72,8.82,5.94,17.01,4.83,15.16,12.16,9.69,7.68,4.73,2.18
1988,9.51,10.13,8.71,15.23,7.82,10.98,9.93,7.82,16.75,6.72,15.04,13.41,10.58,9.58,6.87,4.89
1989,9.78,11.53,9.73,15.50,8.93,11.41,10.93,9.58,17.07,7.65,15.74,12.90,11.32,10.30,8.22,5.92
1990,10.30,11.44,9.46,15.88,9.24,11.61,10.85,9.78,17.33,7.28,15.90,13.52,11.18,10.39,8.12,5.23
1991,9.03,9.98,8.54,14.63,7.90,10.35,9.51,8.41,16.59,6.67,14.78,12.05,10.17,8.94,7.26,5.21
1992,9.54,10.48,8.85,15.06,8.42,11.61,10.09,8.75,16.43,7.26,14.89,12.86,10.23,9.96,7.53,5.33
