YEAR,Zurich,Oxford,Dublin,Wien,Kiev,Lisboa,Oslo,Madrid,Verona,Hannover,Vilnius,Helsinki
1880,8.19,9.33,8.37,9.62,6.66,14.9,6.4,13.33,10.84,8.67,5.84,2.81
1881,8.65,9.41,7.83,9.01,6.51,16.02,3.92,14.28,10.95,7.84,5.18,1.15
1882,8.45,10,8.49,10.33,8.19,14.93,6.93,13.53,12.02,9.01,7.78,4.81
1883,8.04,9.82,7.7,9.41,7.12,14.61,5.78,12.93,11.45,8.16,5.68,2.97
1884,8.52,10.35,8.57,9.79,7.32,15.05,6.29,13.03,11.11,8.92,6.72,3.71
1885,8.26,9.33,7.55,10.05,8.46,14.7,4.9,12.71,11.76,7.99,6.27,3.02
1886,8.17,9.44,7.95,9.61,6.9,15.08,5.71,13.27,12.05,8.16,6,3.56
1887,7.09,8.83,7.78,9.23,8.09,15.51,5.8,13.39,11.61,7.09,6.64,4.47
1888,7.2,8.71,7.51,8.59,6.99,14.84,3.94,12.49,11.05,6.78,5.01,1.34
1889,7.35,9.47,8.21,9.5,7.7,14.56,6.67,13.2,11.6,7.86,6.4,3.55
1890,7.3,9.61,8.56,9.44,8.72,14.87,6.19,13.05,11.35,7.81,7.09,4.62
1891,6.83,8.42,7.65,8.53,7.17,14.91,5.34,12.99,11.07,6.78,5.69,3.62
1892,8.67,8.9,7.45,9.68,8.73,15.65,5.19,13.86,12.16,7.51,6.12,2.62
1893,8.61,10.32,8.78,9.2,6.43,16.2,4.67,14.04,11.79,7.79,4.6,1.39
1894,8.39,9.77,8.2,10.07,7.65,15.12,6.64,13.54,12.32,8.36,6.5,4.63
1895,7.73,9.53,7.73,9.05,7.9,16.07,5.1,14.38,11.98,7.54,6.24,3.31
1896,7.72,10.15,8.54,9.16,7.17,15.72,6.17,13.74,11.66,8.11,6.46,4.41
1897,8.6,10.02,8.49,9.81,8.78,16.3,5.87,14.95,12.73,7.94,6.82,4
1898,8.78,10.43,8.99,10.39,7.42,16.04,5.99,14.62,12.73,8.75,6.34,3.8
1899,9.1,10.95,9.19,10.19,8.78,16.89,6.16,15.31,12.24,9.07,6.88,3.06
1900,8.47,9.86,8.24,9.54,7.38,15.85,5.22,14.15,12.48,8.2,4.99,2.45
1901,7.62,9.97,8.48,9.47,8.46,15.41,6.2,13.54,11.59,8.27,5.92,4.24
1902,7.87,9.43,8.17,9.28,7.51,15.47,4.66,13.55,11.68,7.4,4.26,1.57
1903,8.05,10.07,8.4,9.73,8.68,15.79,5.54,13.97,12.02,8.61,5.97,4.06
1904,8.49,9.6,8.24,9.95,6.93,15.79,5.61,14.21,13.11,8.19,4.43,3.15
1905,8.06,9.73,8.41,9.89,8.27,15.63,5.86,13.57,11.58,8.29,5.68,3.71
1906,8.58,10.38,8.78,10.19,8.81,15.97,6.71,13.91,11.99,8.95,6.35,4.68
1907,7.79,9.5,8.04,9.45,7.12,15.5,5.62,13.85,11.76,7.8,4.74,3.29
1908,7.91,10.05,8.82,9.55,6.9,16.04,5.77,14.45,11.77,8.11,4.57,2.53
1909,7.42,9.22,8.23,9.12,7.26,15.71,5.28,13.6,11.38,7.35,4.5,3.25
1910,8.19,9.7,8.34,9.96,8.96,15.7,6.3,13.4,11.81,8.84,6.66,4.96
1911,9.09,10.9,9.12,10.54,7.28,15.48,6.71,14.01,12.24,9.81,6.04,4.09
1912,7.93,10.05,8.49,9.12,6.2,15.76,5.65,13.91,11.43,8.19,5.03,3.28
