Year,GMT anomaly (DJF),NINO3.4 (DJF)
1870,-0.632079319,-0.54
1871,-0.569224415,-0.64
1872,-0.364193479,-0.89
1873,-0.321624381,-0.896666667
1874,-0.454132272,-0.74
1875,-0.475940917,-0.966666667
1876,-0.421252168,0.346666667
1877,0.034683172,2.443333333
1878,-0.275475855,-0.493333333
1879,-0.464737531,-0.916666667
1880,-0.252161149,0.233333333
1881,-0.137990851,-0.456666667
1882,-0.537648318,-0.566666667
1883,-0.397075903,-0.086666667
1884,-0.566206898,0.246666667
1885,-0.392045471,0.363333333
1886,-0.599150037,-1.046666667
1887,-0.5674213,0.32
1888,-0.187522594,1.706666667
1889,-0.447728726,-1.95
1890,-0.525689726,-0.46
1891,-0.324167437,-0.276666667
1892,-0.894048276,-1.19
1893,-0.513879162,-1.073333333
1894,-0.609827049,-0.566666667
1895,-0.339551675,0.243333333
1896,-0.247698052,1.393333333
1897,-0.406845437,-0.493333333
1898,-0.467787764,-0.746666667
1899,-0.391848809,1.403333333
1900,-0.261675402,0.57
1901,-0.3854286,-0.37
1902,-0.413535663,1.216666667
1903,-0.763522912,-0.846666667
1904,-0.561076805,0.753333333
1905,-0.319873322,0.91
1906,-0.489476811,-0.496666667
1907,-0.490086462,-0.096666667
1908,-0.645542795,-0.773333333
1909,-0.519395099,-0.883333333
1910,-0.710251427,-0.596666667
1911,-0.319937764,1.113333333
1912,-0.568112205,-0.17
1913,-0.170869265,0.783333333
1914,-0.248203137,0.736666667
1915,-0.321418405,-0.32
1916,-0.742154892,-1.466666667
1917,-0.658897836,-0.793333333
1918,-0.305863395,1.38
1919,-0.435944803,0.526666667
1920,-0.333765453,-0.033333333
1921,-0.366453369,-0.37
1922,-0.401187047,-0.566666667
1923,-0.247480934,0.703333333
1924,-0.489767353,-0.72
1925,0.020516608,1.47
1926,-0.281831647,0.033333333
1927,-0.155112252,0.31
1928,-0.42228285,-0.086666667
1929,-0.426451129,0.456666667
1930,-0.153434074,1.41
1931,-0.06520216,-0.296666667
1932,-0.309587962,-0.233333333
1933,-0.327537756,-1.003333333
1934,-0.136523747,-0.25
1935,-0.332711913,0.396666667
1936,-0.055597487,0.21
1937,-0.014231827,0.08
1938,-0.148354125,-0.803333333
1939,0.122515267,0.87
1940,0.092636214,1.37
1941,0.116675507,0.803333333
1942,-0.097786161,-1.206666667
1943,0.181017185,-0.226666667
1944,0.075582942,-0.363333333
1945,-0.089681431,-0.406666667
1946,-0.211592402,0.096666667
1947,-0.163560482,0.2
1948,-0.203275263,0.06
1949,-0.294175472,-1.25
1950,-0.376830508,-0.97
1951,0.077191538,0.446666667
1952,0.015237674,0.016666667
1953,-0.104370395,0.25
1954,-0.083454391,-0.746666667
1955,-0.295715534,-1.243333333
1956,-0.179230005,-0.46
1957,0.13327248,1.373333333
1958,-0.024571448,0.41
1959,-0.065062785,-0.09
1960,0.040735385,-0.03
1961,-0.098897149,-0.233333333
1962,-0.069174696,-0.356666667
1963,-0.160019489,0.786666667
1964,-0.265666375,-0.666666667
1965,-0.199034529,1.136666667
1966,-0.229433687,-0.456666667
1967,-0.248701473,-0.563333333
1968,-0.183554414,0.893333333
1969,0.081503743,0.53
1970,-0.203093989,-1.286666667
1971,-0.295870539,-0.563333333
1972,0.123032254,1.623333333
1973,-0.285791967,-1.9
1974,-0.110467628,-0.52
1975,-0.216075534,-1.496666667
1976,0.075907412,0.676666667
1977,0.023578912,0.773333333
1978,-0.039203192,0.07
1979,0.33313082,0.523333333
1980,0.298041719,-0.18
1981,0.135853404,-0.033333333
1982,0.324021514,2.326666667
1983,0.09122735,-0.76
1984,-0.048218808,-1.11
1985,0.160458164,-0.61
1986,0.189387099,1.113333333
1987,0.388058475,0.696666667
1988,0.129193812,-1.766666667
1989,0.28177877,0.083333333
1990,0.33307732,0.383333333
1991,0.316563371,1.616666667
1992,0.214360037,0.246666667
1993,0.120876732,0.02
1994,0.433711034,1.06
1995,0.283990114,-0.676666667
1996,0.292242613,-0.366666667
1997,0.628069679,2.266666667
1998,0.492932202,-1.483333333
1999,0.331426082,-1.62
2000,0.319246628,-0.81
2001,0.610530207,-0.2
2002,0.495516702,1.01
2003,0.601354338,0.25
2004,0.532942473,0.51
2005,0.582246296,-0.813333333
2006,0.74999949,0.603333333
2007,0.299514383,-1.7
2008,0.511210538,-0.87
2009,0.713634145,1.473333333
2010,0.440970563,-1.53
2011,0.443030457,-0.863333333
2012,0.532667761,-0.316666667
2013,0.589337485,-0.32
2014,0.735524326,0.643333333
2015,1.11767497,2.41
2016,0.932730422,-0.286666667
2017,0.773741405,-0.813333333
2018,0.822692761,0.7
2019,1.073211669,0.543333333
