date, pm25, pm10, o3, no2, so2, co
25/03/2023,59,30,32,12, ,5
24/03/2023,56,38,30,11, ,8
23/03/2023,51,31,33,21, ,10
22/03/2023,32,24,31,30, ,9
21/03/2023,26,13,28,22, ,9
20/03/2023,21,10,30,12, ,7
19/03/2023,29,9,34,13, ,7
18/03/2023,45,18,35,8, ,6
17/03/2023,57,25,37,9, ,6
16/03/2023,31,31,41,21, ,8
15/03/2023,24,18,38,19, ,7
14/03/2023,74,16,34,11, ,6
13/03/2023,49,117,27,16, ,7
12/03/2023,45,56,28,15, ,5
11/03/2023,45,32,46,36, ,6
10/03/2023,46,27,41,15, ,3
09/03/2023,25,23,36,22, ,5
08/03/2023,32,14,37,22, ,5
07/03/2023,32,19,39,14, ,4
06/03/2023,92,26,41,13, ,4
05/03/2023,80,82,46,11, ,4
04/03/2023,87,61,33,23, ,7
03/03/2023,86,59,42,16, ,9
02/03/2023,87,67,47,13, ,8
01/03/2023,82,63,41,38, ,11
28/02/2023,89,63,39,33, ,9
27/02/2023,86,68,38,21, ,7
26/02/2023,65,58,40,31, ,8
25/02/2023,54,28,35,35, ,8
24/02/2023,50,19,34,9, ,6
23/02/2023,42,20,34,12, ,6
22/02/2023,58,24,27,17, ,6
21/02/2023,57,30,31,25, ,7
20/02/2023,65,33,33,19, ,6
19/02/2023,67,43,35,19, ,5
18/02/2023,50,32,35,24, ,5
17/02/2023,51,22,36,15, ,4
16/02/2023,52,27,34,23, ,6
15/02/2023,67,16,28,31, ,6
14/02/2023,75,33,33,21, ,4
13/02/2023,54,35,33,30, ,5
12/02/2023,54,22,35,29, ,4
11/02/2023,46,42,30,19, ,3
10/02/2023,53,36, ,11, ,2
09/02/2023,30,20, ,15, ,2
08/02/2023,17,9, ,24, ,3
07/02/2023,23,6,27,13, ,2
06/02/2023,41,33,28,8, ,4
05/02/2023,24,42,32,8, ,6
04/02/2023,25,12,32,13, ,7
03/02/2023,25,10,30,7, ,6
02/02/2023,33,13,27,14, ,7
01/02/2023, ,38,30,12, ,6
31/01/2023,19, , , , , 
30/01/2023,38,15,33,9, ,5
29/01/2023,76,32,33,13, ,6
28/01/2023,64,73,31,18, ,6
27/01/2023,87,39,37,13, ,5
26/01/2023,85,49,33,22, ,6
25/01/2023,90,50,36,35, ,7
24/01/2023,97,50,35,28, ,6
23/01/2023,68,55,35,24, ,5
22/01/2023,64,46,35,28, ,5
21/01/2023,54,39,30,30, ,8
20/01/2023,45,30,31,21, ,8
19/01/2023,53,36,31,22, ,7
18/01/2023,75,27,32,25, ,7
17/01/2023,57,36,32,30, ,9
16/01/2023,50,27,27,31, ,9
15/01/2023,44,30,29,28, ,8
14/01/2023,41,25,24,22, ,7
13/01/2023,50,26,30,11, ,5
12/01/2023,51,32,27,18, ,6
11/01/2023,76,30,27,19, ,5
10/01/2023,72,35,29,28, ,8
09/01/2023,67,29,20,25, ,8
08/01/2023,52,50,18,24, ,7
07/01/2023,46,27,29,25, ,7
