kyrBP,InsolationJul65N
0,465.776296
1,463.587154
2,462.408846
3,462.258302
4,462.91852
5,464.244046
6,466.128633
7,468.184252
8,470.188604
9,471.908311
10,473.014601
11,473.43371
12,473.23958
13,472.438325
14,471.367768
15,470.31045
16,469.453917
17,469.044846
18,469.271295
19,470.054432
20,471.434347
21,473.40062
22,475.637905
23,478.129791
24,480.667174
25,482.955072
26,484.897301
27,486.372358
28,487.108109
29,487.286585
30,486.831228
31,485.833832
32,484.504345
33,483.032295
34,481.441815
35,480.045454
36,478.859821
37,477.898616
38,477.298233
39,476.990237
40,476.832307
41,476.908663
42,476.963409
43,476.867752
44,476.536648
45,475.809092
46,474.503439
47,472.767717
48,470.512122
49,467.898023
50,465.203453
51,462.616852
52,460.29665
53,458.66567
54,457.683706
55,457.543352
56,458.348126
57,460.011311
58,462.494484
59,465.82353
60,469.753623
61,474.200614
62,479.044961
63,483.980102
64,488.790603
65,493.276027
66,497.040745
67,499.840119
68,501.59209
69,501.936988
70,501.034878
71,498.958203
72,495.829753
73,491.967435
74,487.761013
75,483.322999
76,479.084394
77,475.189192
78,471.756719
79,468.923718
80,466.817058
81,465.28947
82,464.528895
83,464.422347
84,464.863301
85,465.83456
86,467.175561
87,468.587741
88,469.996092
89,471.072825
90,471.628748
91,471.586771
92,470.961556
93,469.732488
94,468.248169
95,466.651268
96,465.184887
97,464.097399
98,463.545859
99,463.508625
100,464.185699
101,465.399642
102,467.159176
103,469.411186
104,472.039381
105,474.941998
106,478.112454
107,481.420113
108,484.773177
109,488.19486
110,491.502139
111,494.616794
112,497.469896
113,499.83986
114,501.505001
115,502.38765
116,502.106309
117,500.603513
118,497.76289
119,493.595228
120,488.258661
121,482.143996
122,475.551933
123,468.984779
124,462.892461
125,457.587745
126,453.344386
127,450.393365
128,448.711535
129,448.432766
130,449.516025
131,451.897216
132,455.590396
133,460.477752
134,466.31162
135,472.824285
136,479.428775
137,485.415396
138,489.9695
139,492.402451
140,492.21283
141,489.518984
142,484.799497
143,478.918878
144,472.803369
145,467.293525
146,462.948114
147,460.050017
148,458.669637
149,458.746183
150,460.080104
151,462.568129
152,466.026675
153,470.408085
154,475.613836
155,481.502901
156,487.897639
157,494.407916
158,500.410049
159,505.251585
160,508.075048
161,508.216904
162,505.400853
163,499.744518
164,491.875821
165,482.679933
166,473.235121
167,464.344141
168,456.676824
169,450.65468
170,446.373064
171,443.879204
172,443.060877
173,443.79487
174,445.945684
175,449.402213
176,454.03019
177,459.721395
178,466.253766
179,473.403611
180,480.737887
181,487.79873
182,493.985515
183,498.717106
184,501.569881
185,502.207146
