kyrsBP,InsolationJune65N
0,462.983378
1,465.139231
2,467.94451
3,471.224713
4,474.364436
5,477.051338
6,479.072308
7,479.999597
8,479.741965
9,478.465355
10,476.103581
11,473.137363
12,469.953867
13,466.954937
14,464.512019
15,463.079442
16,462.622644
17,463.324248
18,465.107702
19,467.684759
20,470.835504
21,474.38812
22,477.78552
23,480.928419
24,483.534886
25,485.333339
26,486.346227
27,486.598551
28,486.082679
29,485.109368
30,483.907683
31,482.598758
32,481.518239
33,480.814701
34,480.467085
35,480.603637
36,481.15611
37,481.856526
38,482.73416
39,483.46224
40,483.81722
41,483.687377
42,482.869476
43,481.201672
44,478.748184
45,475.544523
46,471.66436
47,467.497384
48,463.24926
49,459.246833
50,455.905934
51,453.454449
52,452.081295
53,452.028037
54,453.239819
55,455.723696
56,459.383308
57,463.985928
58,469.328213
59,475.1063
60,481.046139
61,486.713485
62,491.906489
63,496.209045
64,499.375082
65,501.219551
66,501.626419
67,500.543125
68,498.238983
69,494.779692
70,490.625568
71,486.099657
72,481.604811
73,477.445872
74,473.977678
75,471.3315
76,469.636032
77,468.931048
78,469.120045
79,470.082548
80,471.703261
81,473.655663
82,475.810008
83,477.849111
84,479.539056
85,480.608978
86,480.899091
87,480.186515
88,478.476912
89,475.751729
90,472.249073
91,468.142079
92,463.926451
93,459.852502
94,456.382585
95,453.773485
96,452.287135
97,451.985586
98,452.943228
99,455.079134
100,458.262361
101,462.336627
102,467.152191
103,472.407843
104,477.995172
105,483.697326
106,489.213378
107,494.510747
108,499.261932
109,503.349494
110,506.551392
111,508.736649
112,509.617635
113,509.223201
114,507.281989
115,503.866158
116,499.003239
117,492.931536
118,485.811033
119,478.261046
120,470.571674
121,463.359329
122,457.116348
123,452.212666
124,448.95812
125,447.622328
126,448.141472
127,450.524757
128,454.568651
129,460.026285
130,466.447286
131,473.550941
132,480.641226
133,487.25592
134,492.710262
135,496.35144
136,497.522101
137,496.01696
138,491.52505
139,484.606645
140,475.929444
141,466.569617
142,457.621385
143,450.233683
144,445.023422
145,442.505274
146,442.951888
147,446.051975
148,451.680249
149,459.420392
150,468.642871
151,478.872322
152,489.580225
153,499.903288
154,509.446461
155,517.41048
156,523.075076
157,525.899848
158,525.441813
159,521.277521
160,513.807149
161,503.468507
162,491.133145
163,478.109948
164,465.516312
165,454.219518
166,445.260561
167,438.863745
168,435.261744
169,434.489085
170,436.280879
171,440.258052
172,446.199368
173,453.541211
174,461.853483
175,470.731927
176,479.651536
177,487.980849
178,495.431365
179,501.260283
180,505.074692
181,506.614533
182,505.608586
183,502.118671
184,496.69421
185,489.651694
186,481.829959
187,474.048164
188,466.880182
189,460.887253
190,456.620525
191,454.109802
192,453.460867
193,454.752666
194,457.57672
195,461.820475
196,467.247106
197,473.345439
198,479.860199
199,486.497583
200,492.633765
201,498.038543
202,502.27027
203,504.748896
204,505.230815
205,503.499896
206,499.219774
207,492.764225
208,484.557229
209,475.009337
210,465.211454
211,455.89751
212,447.69837
213,441.426286
214,437.362732
215,435.644642
216,436.44731
217,439.586475
218,444.752205
219,451.812882
220,460.315237
221,469.810224
222,479.985683
223,490.306223
224,500.135767
225,509.140443
226,516.524991
227,521.679921
228,524.172946
229,523.457397
230,519.317695
231,512.127297
232,502.247258
233,490.641499
234,478.493511
235,466.842475
236,456.607671
237,448.740611
238,443.475322
239,441.062253
240,441.546277
241,444.57789
242,449.821053
243,456.9844
244,465.379119
245,474.5791
246,484.050838
247,493.037839
248,500.84562
249,506.80619
250,509.842209
251,509.345314
252,504.932077
253,496.473675
254,484.862242
255,471.518814
256,457.78905
257,445.565287
258,435.978534
259,429.766854
260,427.343476
261,428.66117
262,433.285505
263,440.87019
264,450.740653
265,462.211564
266,474.663971
267,487.381585
268,499.562918
269,510.56751
270,519.642129
271,525.953348
272,529.140703
273,528.650385
274,524.584986
275,517.293967
276,507.654098
277,496.497296
278,485.166195
279,474.483353
280,465.26742
281,458.012078
282,452.977765
283,450.047475
284,449.251614
285,450.188764
286,452.586881
287,456.150169
288,460.483886
289,465.221676
290,470.147642
291,474.831844
292,479.076259
293,482.615009
294,485.27306
295,486.774411
296,487.255711
297,486.474109
298,484.635099
299,481.857616
300,478.348437
301,474.327798
302,470.229966
303,466.17818
304,462.627999
305,459.758499
306,457.805978
307,456.917315
308,457.220713
309,458.711725
310,461.349512
311,465.091204
312,469.69468
313,475.0386
314,480.813167
315,486.754778
316,492.515599
317,497.796586
318,502.153276
319,505.323717
320,506.879432
321,506.677575
322,504.441931
323,500.335688
324,494.424575
325,487.208068
326,479.155945
327,470.968485
328,463.193393
329,456.524581
330,451.304561
331,447.923809
332,446.456825
333,447.006813
334,449.35424
335,453.383449
336,458.762364
337,465.124731
338,472.116071
339,479.272965
340,486.053266
341,492.069918
342,496.670902
343,499.508897
344,500.15304
345,498.516317
346,494.602721
347,488.927003
348,481.96702
349,474.595738
350,467.582547
351,461.660408
352,457.298293
353,454.95267
354,454.639496
355,456.332057
356,459.872909
357,464.849896
358,470.931222
359,477.61188
360,484.434746
361,490.762059
362,496.203954
363,500.077843
364,501.972809
365,501.544469
366,498.621599
367,493.291795
368,486.172413
369,477.796939
370,469.186992
371,461.282412
372,454.726855
373,450.189991
374,447.970301
375,448.030539
376,450.268223
377,454.404371
378,459.882794
379,466.256527
380,473.046185
381,479.470078
382,485.173053
383,489.598506
384,492.306694
385,493.194544
386,492.317955
387,489.770385
388,486.261689
389,482.246884
390,478.322565
391,475.116475
392,473.018162
393,472.115666
394,472.589757
395,474.256951
396,476.772281
397,479.924795
398,483.234873
399,486.169735
400,488.511122
401,489.71681
402,489.529373
403,487.921871
404,484.888684
405,480.600045
406,475.664167
407,470.477758
408,465.564859
409,461.609678
410,458.825139
411,457.431874
412,457.666182
413,459.245709
414,461.981974
415,465.714748
416,469.846572
417,474.05259
418,478.001637
419,481.082199
420,483.099691
421,483.841298
422,483.160355
423,481.147697
424,478.281147
425,474.707488
426,471.094564
427,467.955038
428,465.543853
429,464.263566
430,464.331438
431,465.578201
432,468.019013
433,471.526267
434,475.584679
435,480.103648
436,484.652316
437,488.837742
438,492.36825
439,495.130428
440,496.564128
441,496.930789
442,496.055793
443,493.967054
444,491.022446
445,487.463003
446,483.441609
447,479.492193
448,475.76408
449,472.401897
450,469.711841
451,467.658591
452,466.142441
453,465.306117
454,464.907597
455,464.782082
456,464.945817
457,465.232942
458,465.388354
459,465.719369
460,465.897912
461,466.114156
462,466.49051
463,467.071308
464,467.87587
465,469.231225
466,470.934134
467,473.082709
468,475.703478
469,478.538584
470,481.423984
471,484.298359
472,486.686837
473,488.401846
474,489.338988
475,489.052885
476,487.616802
477,485.056564
478,481.435278
479,477.1052
480,472.604852
481,468.193726
482,464.524271
483,462.011208
484,460.885869
485,461.367377
486,463.629911
487,467.306512
488,472.451177
489,478.587217
490,485.267271
491,492.01264
492,498.282425
493,503.186466
494,506.259365
495,506.71525
496,504.075022
497,498.211373
498,489.522917
499,478.611045
500,466.838919
501,455.476924
502,445.651131
503,438.468919
504,434.480819
505,433.770093
506,436.505285
507,442.187775
508,450.421001
509,460.64473
510,472.244259
511,484.333539
512,496.405253
513,507.324889
514,516.197406
515,522.022375
516,523.742829
517,520.67061
518,512.927904
519,501.062147
520,486.585799
521,471.508222
522,457.412144
523,446.001167
524,438.010231
525,433.961003
526,433.642466
527,436.889526
528,442.987911
529,451.420817
530,461.445323
531,472.380906
532,483.458027
533,494.069931
534,503.341589
535,510.565912
536,515.047719
537,516.066803
538,513.404269
539,507.171115
540,497.937873
541,486.830014
542,475.106482
543,464.060697
544,454.622563
545,447.659837
546,443.279669
547,441.705168
548,442.620791
549,445.772856
550,450.656591
551,456.931803
552,463.981964
553,471.489239
554,478.943947
555,485.986465
556,492.270323
557,497.518898
558,501.473083
559,504.010749
560,505.07446
561,504.57944
562,502.718342
563,499.543775
564,495.265629
565,490.14203
566,484.382196
567,478.2822
568,472.113799
569,466.154482
570,460.700066
571,455.971476
572,452.265571
573,449.721017
574,448.522613
575,448.752622
576,450.448798
577,453.531987
578,457.962747
579,463.497988
580,469.955006
581,476.98332
582,484.261057
583,491.283142
584,497.616852
585,502.66467
586,505.81563
587,506.654093
588,504.676498
589,499.816333
590,492.334856
591,482.765049
592,472.046888
593,461.334477
594,451.636997
595,443.860786
596,438.812579
597,436.671306
598,437.686476
599,441.729259
600,448.461369
601,457.496011
602,468.43349
603,480.509753
604,493.325909
605,506.027271
606,517.860813
607,527.878033
608,534.96741
609,537.952394
610,535.803968
611,528.020994
612,514.794092
613,497.474315
614,478.067461
615,458.847675
616,441.940798
617,428.868672
618,420.319966
619,416.627624
620,417.559303
621,422.526214
622,431.016932
623,442.220033
624,455.412493
625,469.818806
626,484.755236
627,499.16266
628,512.232891
629,522.625813
630,528.875432
631,529.805946
632,524.46238
633,512.985004
634,496.946842
635,478.565085
636,460.400143
637,444.955136
638,433.47051
639,426.702328
640,424.802863
641,427.275791
642,433.440416
643,442.745766
644,454.145485
645,466.904165
646,480.32377
647,493.431708
648,505.517786
649,515.878621
650,523.514791
651,527.88546
652,528.376927
653,524.815394
654,517.458656
655,507.292339
656,495.238626
657,482.786795
658,471.122525
659,461.105278
660,453.286632
661,448.078411
662,445.150142
663,444.497832
664,445.750986
665,448.381245
666,452.131417
667,456.611529
668,461.335646
669,466.181463
670,470.877891
671,475.181967
672,479.069422
673,482.561883
674,485.367994
675,487.809896
676,489.664163
677,490.88465
678,491.489054
679,491.391179
680,490.284405
681,488.365232
682,485.40575
683,481.419649
684,476.759099
685,471.53639
686,466.135688
687,461.096286
688,456.880537
689,453.666506
690,452.21095
691,452.338343
692,454.304653
693,458.111797
694,463.522101
695,470.197189
696,478.040614
697,486.327147
698,494.685204
699,502.605612
700,509.271407
701,514.053336
702,516.337497
703,515.328528
704,510.781696
705,502.817022
706,491.82251
707,478.869207
708,465.479608
709,452.707084
710,442.076992
711,434.314157
712,429.964325
713,429.115193
714,431.835267
715,437.517639
716,445.941522
717,456.450032
718,468.392789
719,481.129278
720,493.993922
721,505.953274
722,516.210336
723,523.69391
724,527.154495
725,526.006328
726,519.825705
727,508.99493
728,494.862651
729,479.300263
730,464.006863
731,450.941203
732,441.12844
733,435.088588
734,433.10192
735,434.860456
736,439.781121
737,447.478747
738,457.086351
739,467.896229
740,479.290397
741,490.407061
742,500.351662
743,508.476702
744,513.571733
745,514.957267
746,512.087728
747,504.9483
748,494.16986
749,481.356692
750,467.973457
751,455.853407
752,446.285473
753,440.012665
754,437.339547
755,438.20721
756,442.137975
757,448.584731
758,456.881171
759,466.263637
760,475.915577
761,485.25124
762,493.341487
763,499.652784
764,503.665376
765,505.021163
766,503.718157
767,500.249066
768,494.981107
769,488.968276
770,482.972979
771,477.705335
772,473.757449
773,471.380644
774,470.5814
775,471.188521
776,472.971806
777,475.295341
778,477.881003
779,480.093681
780,481.502774
781,481.73599
782,480.629937
783,478.022878
784,474.296796
785,469.76847
786,465.020521
787,460.733081
788,457.408218
789,455.526954
790,455.307929
791,456.884354
792,460.019059
793,464.53906
794,469.999234
795,475.841386
796,481.62978
797,486.615071
798,490.289495
799,492.077853
800,491.701408
801,488.98212
802,484.282402
803,478.068175
804,471.246395
805,464.643535
806,459.224315
807,455.53294
808,454.075135
809,454.980389
810,458.144798
811,463.378662
812,470.215605
813,478.214196
814,486.764385
815,495.27025
816,503.09869
817,509.532695
818,513.995029
819,515.828635
820,514.690084
821,510.433548
822,503.283093
823,493.829614
824,483.080849
825,471.981619
826,461.733954
827,453.132692
828,446.795001
829,443.037904
830,441.918687
831,443.24622
832,446.706432
833,451.906962
834,458.235472
835,465.224631
836,472.249901
837,478.65127
838,483.939682
839,487.503615
840,489.045923
841,488.417226
842,485.863825
843,481.763932
844,476.909134
845,472.043007
846,467.881077
847,465.022061
848,463.868315
849,464.401166
850,466.657813
851,470.372238
852,475.000791
853,480.308406
854,485.5323
855,490.25048
856,493.86893
857,496.016723
858,496.172701
859,494.459507
860,490.777158
861,485.598344
862,479.579382
863,473.424445
864,467.838716
865,463.613763
866,461.106595
867,460.532462
868,462.032616
869,465.249037
870,469.858589
871,475.444395
872,481.246244
873,486.667005
874,490.936378
875,493.369254
876,493.20971
877,490.420486
878,484.722711
879,476.860449
880,467.720895
881,458.492904
882,450.328106
883,444.421206
884,441.218194
885,441.178884
886,444.363043
887,450.344051
888,458.805592
889,469.172383
890,480.646006
891,492.512614
892,504.032529
893,513.935473
894,521.426472
895,525.317026
896,524.613565
897,519.04538
898,508.854281
899,494.985531
900,479.426156
901,464.02891
902,450.49744
903,440.244962
904,433.909755
905,431.526499
906,433.119097
907,438.041726
908,445.71651
909,455.464107
910,466.592116
911,478.165632
912,489.673222
913,500.034619
914,508.381845
915,513.73014
916,515.183031
917,512.009742
918,504.464627
919,493.20205
920,479.628347
921,465.817024
922,453.336024
923,443.466379
924,437.266392
925,434.719195
926,435.826195
927,440.279592
928,447.390563
929,456.482537
930,467.058028
931,478.131526
932,489.156454
933,499.448933
934,508.224646
935,514.879957
936,519.033043
937,520.106173
938,518.111182
939,513.411138
940,506.149019
941,497.436021
942,487.988962
943,478.638951
944,470.091706
945,463.007471
946,457.345571
947,453.512278
948,451.277478
949,450.447282
950,450.825779
951,452.199992
952,454.10659
953,456.487893
954,459.096956
955,461.618993
956,464.194582
957,466.673191
958,469.021687
959,471.476182
960,473.975651
961,476.598523
962,479.393145
963,482.383941
964,485.215094
965,488.011019
966,490.274213
967,491.79084
968,492.311659
969,491.618489
970,489.381045
971,485.953152
972,481.26466
973,475.794937
974,470.198773
975,464.90331
976,460.610841
977,457.853734
978,456.990954
979,458.123423
980,461.47401
981,466.712608
982,473.606927
983,481.857108
984,490.826119
985,499.927251
986,508.577396
987,515.745009
988,520.550644
