Year,Flow
1906,18723760
1907,20892589
1908,11711022
1909,22198132
1910,14596645
1911,15650022
1912,18623405
1913,14536380
1914,21354813
1915,13623272
1916,20142885
1917,22942804
1918,15865937
1919,12651367
1920,22287631
1921,22514401
1922,18296777
1923,18997638
1924,13928686
1925,14505619
1926,15378418
1927,19645777
1928,17160409
1929,22218872
1930,14448164
1931,8754890
1932,17665041
1933,12361183
1934,6140558
1935,12608227
1936,14661124
1937,14303932
1938,18121894
1939,11167271
1940,9981674
1941,20018936
1942,17163785
1943,13716241
1944,15296903
1945,14258149
1946,11036688
1947,16380601
1948,15025098
1949,16972591
1950,12949869
1951,12478879
1952,20741619
1953,11123293
1954,8424222
1955,9358169
1956,11538011
1957,21512861
1958,15860011
1959,9619893
1960,11529387
1961,9950773
1962,17358465
1963,8630540
1964,10414057
1965,19416659
1966,10162126
1967,11505464
1968,13654500
1969,14915964
1970,14947995
1971,14979906
1972,13112200
1973,18153903
1974,12917458
1975,16531419
1976,11040970
1977,5373437
1978,15155231
1979,17437437
1980,17438396
1981,8909394
1982,17323140
1983,23562450
1984,24343363
1985,21028532
1986,22967335
1987,15325823
1988,11177500
1989,9456083
1990,9334472
1991,12307607
1992,10907538
1993,18903366
1994,10569363
1995,19986106
1996,14210214
1997,21676378
1998,16695380
1999,15859814
2000,10512946
2001,10707744
2002,6007121
2003,10518811
2004,9906019
2005,17105225
2006,13532908
2007,11402747
2008,16117030
2009,14122967
2010,12705071
2011,20287070
2012,7791350
2013,9582152
2014,14345665
2015,13034841
2016,13409122
2017,16399001
2018,8230142
2019,17846949
