YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1948,6.56,5.51,9.46,10.71,12.96,15.16,17.31,16.71,15.36,10.91,8.16,6.75,6.25,11.04,16.39,11.48,11.29
1949,5.60,5.95,5.70,11.55,12.40,16.70,19.45,18.65,18.50,13.25,7.00,6.49,6.10,9.88,18.27,12.92,11.79
1950,4.84,6.58,8.34,8.98,12.84,18.39,17.69,17.44,14.34,10.49,6.74,1.84,5.97,10.05,17.84,10.52,11.10
1951,4.84,4.34,5.48,8.09,11.44,15.69,18.39,16.69,15.69,10.74,9.44,6.42,3.67,8.34,16.92,11.96,10.22
1952,3.73,3.63,7.63,11.13,14.92,16.33,18.78,17.88,12.43,9.88,4.98,3.22,4.59,11.23,17.66,9.10,10.64
1953,3.52,4.67,6.47,9.12,14.21,15.71,16.97,18.02,15.07,11.32,8.67,7.96,3.80,9.93,16.90,11.69,10.58
1954,3.51,3.66,7.11,8.41,12.60,15.06,15.86,16.05,14.21,12.95,7.81,6.96,5.04,9.37,15.66,11.66,10.43
1955,3.41,2.51,4.46,10.56,11.36,15.96,19.16,19.36,15.30,9.81,7.85,6.30,4.29,8.79,18.16,10.99,10.56
1956,4.15,0.05,7.25,7.65,13.50,14.45,17.25,15.24,15.85,10.30,6.30,6.24,3.50,9.47,15.65,10.82,9.86
1957,6.09,6.34,10.19,10.09,11.74,17.54,18.54,17.19,14.24,11.99,7.23,4.68,6.22,10.67,17.76,11.15,11.45
1958,4.23,5.77,4.98,8.43,12.92,15.43,17.68,17.33,16.43,11.98,7.43,5.73,4.89,8.78,16.81,11.95,10.61
1959,2.68,4.68,8.52,10.63,13.73,16.98,19.38,19.33,17.03,13.53,7.53,6.52,4.36,10.96,18.56,12.70,11.65
1960,4.72,5.12,7.72,9.82,14.22,17.47,16.62,16.41,14.87,11.57,8.22,4.86,5.45,10.59,16.83,11.55,11.11
1961,4.41,7.96,8.75,11.41,12.46,16.46,17.46,17.51,16.81,11.96,7.06,3.85,5.74,10.87,17.14,11.94,11.43
1962,4.90,4.85,3.75,9.05,11.40,15.25,16.70,16.15,14.05,11.75,6.50,2.30,4.53,8.07,16.03,10.77,9.85
1963,-1.55,0.64,7.20,9.99,11.80,16.39,16.85,16.10,14.40,11.85,9.24,3.04,0.46,9.66,16.45,11.83,9.60
1964,3.44,5.14,5.44,9.44,15.04,15.59,18.49,17.84,16.19,9.84,8.59,4.34,3.87,9.97,17.31,11.54,10.67
1965,4.14,3.74,6.69,9.44,13.04,15.69,15.84,16.68,13.63,12.19,5.64,5.38,4.07,9.72,16.07,10.49,10.09
1966,3.49,7.19,7.09,9.14,12.59,17.34,16.49,16.44,15.54,11.99,6.19,6.09,5.35,9.61,16.76,11.24,10.74
1967,5.03,6.29,7.99,8.79,12.04,15.54,18.99,17.44,15.14,12.24,6.48,4.59,5.80,9.61,17.32,11.29,11.01
1968,4.59,3.28,7.64,9.39,11.54,16.38,16.99,16.74,15.54,13.94,7.49,3.54,4.15,9.52,16.70,12.32,10.68
1969,6.48,2.34,4.99,9.09,13.04,15.59,19.09,17.89,15.84,14.24,6.64,3.94,4.12,9.04,17.52,12.24,10.73
1970,4.79,4.19,4.59,7.74,14.39,18.34,16.98,17.84,16.04,12.09,8.89,4.54,4.31,8.91,17.72,12.34,10.82
1971,5.49,5.44,5.89,8.69,13.34,14.14,19.14,17.59,15.64,12.84,6.89,7.09,5.16,9.31,16.96,11.79,10.80
1972,4.69,5.44,8.04,9.48,11.99,13.44,17.69,17.14,13.34,12.24,6.74,6.64,5.74,9.84,16.09,10.77,10.61
1973,4.81,4.50,7.05,8.37,12.94,16.96,17.06,18.56,15.84,10.10,6.56,5.73,5.32,9.45,17.53,10.83,10.78
1974,7.19,6.55,6.58,10.03,12.29,15.31,16.73,16.99,13.12,8.15,7.95,8.77,6.49,9.63,16.34,9.74,10.55
1975,7.84,5.97,5.84,9.34,11.17,16.04,19.10,20.52,14.96,10.67,6.79,5.25,7.53,8.78,18.55,10.81,11.42
1976,6.26,5.37,5.85,9.13,14.06,19.90,20.93,19.23,14.92,12.02,7.05,2.99,5.63,9.68,20.02,11.33,11.66
1977,3.93,6.45,7.81,7.90,11.91,13.68,17.37,16.52,14.34,12.72,7.68,7.07,4.46,9.21,15.86,11.58,10.27
1978,4.10,3.80,7.42,7.23,12.79,15.54,16.51,16.51,15.27,12.68,9.51,5.58,4.99,9.15,16.19,12.49,10.70
1979,1.23,2.21,5.66,8.69,11.48,15.25,18.14,16.70,15.14,12.64,7.65,6.89,3.01,8.61,16.70,11.81,10.03
1980,3.26,6.82,5.91,9.71,12.32,15.39,15.86,17.79,15.92,10.06,7.22,6.22,5.66,9.31,16.35,11.07,10.60
1981,5.27,3.81,9.02,9.02,12.25,14.36,17.29,18.27,15.95,9.59,8.35,1.94,5.10,10.10,16.64,11.30,10.78
1982,4.26,5.66,6.97,9.98,13.01,17.14,18.09,17.45,15.96,11.19,9.01,5.35,3.95,9.99,17.56,12.05,10.89
