YEAR,Melbourne,NYC,Calcutta,NINO34,NAO
1880,13.51,13.13,26.59,-0.370833333,-0.01
1881,13.04,11.26,26.51,-0.0425,0.09
1882,12.96,12.11,26.56,-0.4625,1.09
1883,13.62,10.81,26.44,-0.263333333,0.64
1884,12.94,11.87,26.28,0.1675,0.58
1885,12.99,10.86,26.97,0.3825,0.19
1886,13.65,11.7,26.83,-0.774166667,-0.32
1887,13.29,11.11,26.41,-0.599166667,-0.64
1888,12.86,10.2,26.73,0.8125,0.01
1889,13.34,12.03,26.88,-0.096666667,0.64
1890,13.45,12.83,26.59,-1.279166667,0.6
1891,12.71,12.39,26.66,-0.006666667,0.03
1892,12.05,12.35,26.88,-0.835,-0.64
1893,12.36,10.88,25.7,-1.249166667,-0.1
1894,12.94,12.17,26.79,-0.92,0.87
1895,13,11.78,26.79,-0.0225,-0.24
1896,12.98,12.02,27.16,0.568333333,0.35
1897,13.01,11.66,27.05,0.071666667,0.85
1898,13.64,12.9,26.5,-0.558333333,0.53
1899,13.03,11.9,26.68,0.210833333,0.04
1900,13.35,12.53,26.92,0.741666667,0.08
1901,12.98,11.63,26.7,-0.120833333,-0.4
1902,13,12.04,26.41,0.735833333,-0.43
1903,13.12,11.99,26.61,-0.000833333,0.87
1904,13.25,10.42,26.17,-0.010833333,0.62
1905,12.65,11.09,25.79,0.89,0.1
1906,12.95,12.47,26.38,-0.033333333,0.28
1907,12.8,10.86,26.5,-0.375833333,0.56
1908,13.38,12.34,26.61,-0.510833333,0.63
1909,13.06,12.22,26.49,-0.874166667,-0.1
1910,13.79,12.02,26.39,-0.93,-0.05
1911,13.51,11.56,26.5,-0.254166667,0.48
1912,13.55,11.81,26.45,0.211666667,0.21
1913,13.08,13.1,26.01,0.035,0.87
1914,14.06,11.8,26.28,0.4975,0.8
1915,13.41,12.04,26.83,0.355,-0.87
1916,13.3,11.53,26.58,-0.93,-0.42
1917,13.26,11,26.07,-0.4225,-0.38
1918,13.85,11.32,26.09,0.078333333,0.51
1919,13.83,12.71,26.36,0.6075,0.35
1920,13.6,11.26,26.57,0.219166667,0.62
1921,14.25,13.3,26.37,-0.450833333,0.16
1922,13.44,12.23,26.45,-0.3325,0.52
1923,13.26,11.48,26.34,0.029166667,0.82
1924,12.82,11.67,27.18,-0.4075,-0.01
1925,12.92,12.15,26.25,0.189166667,0.29
1926,13.52,11.17,26.28,0.5225,0.1
1927,13.23,11.77,26.51,-0.078333333,-0.26
1928,14.01,12.18,26.8,-0.065833333,0.22
1929,12.99,12.66,26.65,0.085,0.17
1930,13.51,12.75,26.54,0.7175,0.13
1931,12.89,13.19,26.83,0.4525,-0.32
1932,13.12,13.11,26.79,-0.005833333,-0.06
1933,13.14,12.83,26.25,-0.623333333,-0.42
1934,14.01,11.74,26.52,-0.49,0.42
1935,13.18,11.98,26.78,-0.17,0.25
1936,13.15,11.58,26.54,0.11,-0.13
1937,13.14,12.77,26.32,0.01,0.17
1938,13.47,12.97,26.57,-0.4575,0.92
1939,13.61,12.65,26.73,-0.191666667,-0.46
1940,13.27,11.11,26.54,0.738333333,-0.5
1941,13.32,12.79,26.99,1.11,-0.73
1942,13.5,12.65,26.95,-0.45,-0.53
1943,12.91,12.24,26.4,-0.515833333,0.97
1944,12.92,12.78,26.51,-0.103333333,-0.1
1945,12.79,12.64,26.43,-0.626666667,0.22
1946,12.73,12.73,26.33,-0.216666667,0.47
1947,13.36,12.39,26.88,-0.265833333,-0.09
1948,12.8,12.1,26.65,0.080833333,0.8
1949,12.63,13.8,26.3,-0.496666667,0.48
1950,13.36,12.22,26.34,-1.0625,0.49
1951,13.2,12.61,26.93,0.125833333,-0.07
1952,13.04,13.03,26.75,-0.185833333,-0.37
1953,13.32,13.59,27.05,0.319166667,0.4
1954,13.46,12.77,26.91,-0.586666667,0.51
